Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,9,622,490,318,68,109,0,23,86,0,0
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade,9,622,490,318,68,109,0,23,86,0,0
